1,1,Let’s go back to my place
2,1,"You know if we head to my place we are having sex"
3,1,"Oh okay."
4,1,Let’s go inside the house then!
5,1,No
6,1,I don’t have enough for a condom. We will be fine!
7,1,What’s up? We just got here!
8,1,Let’s go back to my place
9,1,"You know if we head to my place we are having sex"
10,1,"Oh okay."
11,1,Let’s go inside the house then!
12,1,No
13,1,I don’t have enough for a condom. We will be fine!
14,1,What’s up? We just got here!
15,1,Let’s go back to my place
16,1,"You know if we head to my place we are having sex"
17,1,"Oh okay."
18,1,Let’s go inside the house then!
19,1,No
20,1,I don’t have enough for a condom. We will be fine!
21,1,What’s up? We just got here!
22,1,Let’s go back to my place
23,1,"You know if we head to my place we are having sex"
24,1,"Oh okay."
25,1,Let’s go inside the house then!
26,1,No
27,1,I don’t have enough for a condom. We will be fine!
28,1,What’s up? We just got here!
29,1,Hey "Main Avatar" can I borrow your phone to play some games?
30,1, I'm sorry :(. I lost it. But I promise I'll give your phone back in a minute.
31,1,Ha! I knew it. I'm just gonna download a few of my fav apps...
32,1,My phone was my baby too til I dropped it last week. Pleasee just for an hour?
33,1,Geez. Never ask me for homework help in Math class again then. Bye.
34,1,Alright alright. I just had to try. See you in Math class "Main Avatar".
